20,-86
-55,25
53,-97
38,17
-25,43
45,-43
76,-80
95,-27
15,-77
18,8
95,71
92,-60
70,71
17,-88
-77,30
-25,-3
30,75
-100,91
-78,-66
-15,87
56,92
78,73
31,19
-85,51
50,41
-45,-16
91,-42
-51,-13
99,53
-61,79
-15,60
48,-2
83,35
55,-7
-25,-84
-62,81
-99,44
86,36
-58,3
54,70
14,2
-84,-18
75,48
78,47
3,58
55,-85
97,-36
27,44
98,1
-85,-37
73,31
-49,5
51,-2
99,-93
-23,-98
-39,25
31,-42
11,52
92,-22
75,79
55,22
88,-5
-100,-28
8,6
21,67
-19,52
13,0
-34,-20
98,-65
-58,-44
56,-79
-26,49
80,-72
-69,40
-85,-25
24,-33
-33,-46
-45,-97
-21,64
-21,67
61,-25
-53,-76
-47,-65
17,40
74,98
35,84
33,38
-68,-18
-19,-6
-24,29
62,31
-79,-98
98,-59
-20,41
68,-6
19,-80
59,-49
-99,65
-15,-90
41,-58
63,-1
-14,2
-86,-16
-38,-18
5,-85
22,-91
-5,98
42,3
41,-83
71,38
41,94
-92,-1
-97,80
-73,-21
-59,-40
55,-36
-11,25
-3,51
47,72
89,-67
59,-88
-46,0
-71,-99
-51,-94
51,-90
-78,-59
-81,54
-83,35
-85,-73
93,-10
4,-96
-15,98
19,20
78,-20
-83,-24
31,32
94,81
43,34
9,-63
-83,-36
13,3
38,7
60,-72
5,91
79,-83
81,42
94,-87
42,60
-42,-98
9,-32
-32,-57
-2,2
-98,-28
-50,-41
-59,72
99,52
54,-62
-100,-80
-27,-41
35,-58
9,-58
-58,95
80,-58
-73,82
57,63
-11,-4
-26,-5
93,71
-66,33
-60,-53
-49,-62
-49,-47
-44,-48
-2,-25
-92,-62
-46,86
-32,-32
-65,-69
-27,-94
45,-92
29,-39
-12,75
55,-90
-86,5
60,-52
70,-13
27,-67
23,-12
-63,-75
4,100
61,40
12,-66
65,29
-82,-57
-70,87
90,19
-3,-82
-18,35
76,42
-46,68
18,91
-20,84
97,26
-55,-19
61,25
-6,26
-29,-4
-55,27
41,26
-70,-54
43,-56
45,-4
-39,-72
-59,-75
47,-84
0,60
-25,96
-87,74
33,-41
65,80
32,77
31,-93
-87,-86
-14,11
92,-72
8,-14
-35,94
-9,-54
-56,54
33,8
-73,15
-72,92
-51,71
-94,-10
48,38
-4,-46
5,-27
-32,-78
-88,76
61,56
60,-21
-17,-89
75,-69
-96,96
14,32
-3,-30
8,-2
-86,-13
-9,-12
-16,-97
95,-57
71,-18
-29,87
65,67
-56,-90
-11,57
19,86
89,-1
-99,25
54,-7
-99,56
-3,-88
-67,-96
25,-96
12,89
-24,98
86,-90
-97,73
-28,53
-33,-51
-83,38
83,19
-98,21
-67,-64
-79,89
6,94
-47,-5
-31,-42
82,-85
16,-95
-47,85
94,66
53,-41
-6,46
87,-30
