55,89
9,80
11,64
35,64
89,100
77,91
11,86
11,20
75,56
32,88
42,29
32,23
2,65
72,47
4,68
47,9
57,66
18,51
50,24
82,94
3,59
48,56
13,57
61,18
76,88
94,16
66,56
73,42
44,82
78,87
23,43
92,69
39,67
7,39
89,85
94,49
40,71
11,6
27,68
21,27
25,68
29,80
13,51
37,4
83,4
54,9
89,84
67,41
16,6
81,89
8,17
61,23
88,13
3,91
67,73
45,62
7,12
93,87
74,78
70,15
38,86
23,12
11,47
48,38
70,85
82,80
39,21
4,23
38,13
35,53
18,84
1,72
12,37
91,97
54,5
13,8
67,25
46,68
74,54
88,95
61,74
8,69
74,31
19,97
42,12
5,1
7,91
91,46
11,65
2,28
82,100
98,34
43,10
84,43
15,11
97,82
86,44
87,80
49,92
0,29
