38,30,68
60,45,41
59,89,54
97,68,42
72,25,74
61,93,92
53,44,46
40,29,80
18,51,99
92,51,79
53,87,60
85,44,50
18,35,97
95,49,88
40,29,80
33,19,37
84,46,52
68,58,56
45,38,21
81,29,39
75,57,37
74,68,76
85,45,23
34,90,75
93,50,49
28,24,84
85,44,50
92,84,30
22,13,96
92,84,30
84,13,26
41,60,34
59,89,54
63,44,26
23,18,58
28,52,31
34,61,89
70,52,19
36,23,37
93,97,90
16,43,80
83,86,40
38,34,58
38,30,68
13,28,30
47,76,42
78,27,39
60,45,41
18,35,97
90,95,45
14,48,50
66,10,48
41,60,34
61,93,92
41,60,34
55,30,10
79,42,24
25,39,94
38,30,68
90,32,50
85,44,50
38,27,56
77,95,47
25,39,94
37,18,32
56,60,65
85,44,50
55,30,45
17,74,14
29,83,23
94,65,20
63,98,91
27,27,90
92,51,79
51,59,35
70,52,19
84,13,26
94,65,20
69,20,11
23,20,83
53,46,28
60,45,41
20,40,70
20,93,87
65,56,84
92,91,28
57,64,63
32,62,78
56,60,65
84,37,83
20,86,23
24,92,50
41,60,34
20,93,87
89,79,25
41,60,34
41,60,34
73,51,85
81,29,39
62,20,70
41,60,34
93,97,90
92,91,28
33,26,72
40,92,60
56,68,19
41,60,34
87,75,48
20,56,11
18,35,97
75,12,47
13,28,30
29,83,23
28,62,59
85,27,46
84,67,45
41,60,34
77,95,47
18,38,26
92,51,79
90,95,45
47,76,42
22,13,96
12,28,73
92,21,16
99,19,46
95,73,28
92,51,79
92,78,55
56,60,65
75,21,59
72,25,74
41,60,34
26,54,97
93,97,50
92,78,55
77,95,47
92,51,79
41,60,34
63,44,26
16,26,36
20,40,68
18,35,97
67,90,81
31,84,23
41,60,34
18,38,26
79,77,55
49,84,24
36,68,50
93,74,47
18,35,97
92,78,55
57,65,22
92,78,55
57,65,22
20,93,87
62,83,24
58,29,87
78,93,93
72,43,74
22,13,96
24,37,11
90,95,45
45,38,21
45,72,31
84,13,26
18,35,97
41,60,34
89,27,48
20,50,63
74,36,35
70,52,19
84,67,45
87,75,48
86,67,80
15,70,46
35,23,46
84,13,26
81,31,77
33,75,41
92,73,71
55,52,27
38,83,25
22,90,44
41,60,34
22,13,96
90,95,45
15,79,36
29,83,23
81,63,25
73,51,85
63,44,26
45,22,20
45,38,21
34,90,75
38,83,25
72,25,74
58,29,87
38,83,25
29,83,23
63,44,26
22,13,96
82,43,21
88,62,24
29,83,23
92,91,28
16,68,94
92,26,88
15,79,36
26,54,97
38,27,56
38,83,25
49,98,26
92,91,28
63,44,26
88,59,26
22,13,96
41,60,34
58,40,32
68,58,56
75,12,47
84,37,83
20,56,11
97,68,42
79,42,24
53,30,61
57,26,21
18,35,97
46,48,28
34,86,69
90,18,67
72,43,74
92,78,50
33,61,39
51,59,35
62,20,70
20,40,68
23,70,65
20,56,11
99,15,74
25,41,31
45,41,20
53,30,61
84,13,26
28,52,31
18,38,26
74,64,74
95,73,28
41,89,76
89,24,79
28,52,31
12,28,73
37,18,32
46,24,71
41,60,34
93,97,50
63,98,91
74,36,35
90,63,59
34,90,75
63,37,60
92,73,71
92,51,79
82,43,21
70,52,19
37,18,32
47,91,88
20,56,11
93,74,47
78,27,39
74,36,35
97,90,47
93,50,49
22,13,96
84,13,26
85,44,50
51,36,39
37,34,75
25,41,31
90,32,79
74,24,44
89,27,48
18,70,38
41,60,34
93,85,99
60,45,41
40,29,80
22,95,77
92,78,55
28,52,31
20,56,11
55,52,27
80,48,33
22,95,77
29,83,23
93,50,49
93,50,49
16,68,94
99,15,74
54,16,34
74,68,76
57,26,21
81,86,89
68,58,56
85,95,99
84,13,26
20,40,70
93,82,97
34,90,75
57,65,22
92,91,28
89,24,79
74,60,75
58,29,87
72,25,74
81,63,25
64,84,58
84,13,26
20,40,70
70,52,19
83,86,40
99,19,46
34,87,31
48,24,43
31,55,51
28,24,84
92,78,55
74,36,35
86,99,17
90,95,45
84,13,26
93,85,99
90,63,59
74,36,35
93,74,47
90,18,67
63,44,26
16,26,36
26,54,97
92,91,28
22,13,96
38,30,68
29,83,23
20,86,23
87,58,46
75,57,37
29,83,23
72,25,74
20,18,20
57,65,22
64,47,89
74,60,75
18,70,38
20,40,68
18,35,97
20,56,11
41,60,34
64,44,15
64,42,44
40,29,80
93,74,47
63,58,50
75,57,37
22,90,44
51,59,35
89,27,48
87,75,48
40,29,80
41,60,34
73,19,58
58,40,32
87,58,46
87,75,48
99,19,46
64,84,58
93,82,97
24,37,11
22,13,96
74,45,97
22,13,96
53,30,61
63,85,29
37,18,32
28,62,59
18,35,97
41,60,34
22,13,96
96,63,28
46,48,28
18,38,26
69,20,11
63,58,50
11,73,12
74,36,35
20,18,20
63,98,91
80,44,78
74,36,35
32,52,63
41,60,34
69,20,11
22,13,96
72,43,74
42,99,42
94,86,23
25,14,84
20,40,68
90,95,45
92,51,79
22,23,15
49,37,55
84,13,26
96,63,86
92,73,71
63,44,26
63,98,91
87,73,31
90,32,50
87,73,31
46,48,28
14,48,50
64,57,27
18,70,38
22,13,96
41,60,34
29,92,91
70,52,19
24,37,11
34,90,75
78,39,22
22,13,96
26,54,97
65,70,62
38,47,94
89,79,25
41,60,34
49,37,55
84,24,48
27,98,11
63,44,26
23,18,58
34,90,75
14,63,66
57,52,43
32,55,53
36,68,50
35,56,49
68,10,36
18,35,97
87,58,46
22,13,96
16,29,41
41,60,34
39,93,92
63,37,60
68,58,56
37,18,32
26,54,97
90,32,50
20,40,70
33,26,72
92,26,88
22,90,44
13,97,45
92,51,79
70,11,45
34,86,69
62,49,29
40,29,80
76,36,73
84,46,52
92,51,79
68,58,56
90,95,45
92,51,79
73,51,85
56,36,17
63,44,26
95,73,28
73,19,58
81,29,39
29,83,23
70,52,19
72,25,74
20,50,63
90,63,59
70,11,45
23,13,63
94,78,58
88,62,24
55,30,45
12,28,73
46,83,66
85,27,46
22,13,96
33,75,41
78,93,93
33,19,37
20,40,70
93,97,50
57,64,63
51,36,39
34,86,69
14,48,50
18,35,97
22,13,96
38,27,56
63,98,91
76,51,97
40,29,80
72,43,74
64,84,58
97,50,96
68,58,56
64,58,86
75,57,37
35,56,49
57,65,22
78,39,22
92,78,55
73,44,44
22,23,15
22,13,96
74,60,75
20,40,70
57,65,22
26,54,97
93,50,49
49,84,24
23,18,58
41,56,60
84,67,45
98,33,26
49,37,55
56,68,19
48,17,26
79,68,37
64,84,58
45,41,20
74,36,35
15,70,46
92,84,30
65,70,62
74,60,75
53,43,51
40,29,80
61,93,92
59,19,33
92,26,88
63,44,26
34,87,31
59,89,54
35,56,49
33,19,37
33,98,29
16,26,36
18,38,26
40,29,80
84,13,26
74,60,75
30,90,74
92,78,55
59,19,33
57,52,43
72,25,74
84,13,26
48,17,26
92,78,55
92,84,30
35,56,49
73,51,85
89,24,79
93,74,47
87,75,48
35,56,49
89,79,25
97,90,47
74,60,75
92,51,79
63,98,91
46,48,28
45,27,96
92,78,55
33,61,39
85,44,50
64,44,15
29,83,23
97,90,47
90,32,50
66,10,48
80,44,78
74,36,35
38,47,94
